path,fileNameBase,f3_param,medianKernelSize,removeBelowThisPercent,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase,algorithm,gaussianKernelSize,thresholdAlgorithm
,20200722__A01_G001_0001_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:45,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0001_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0001_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0001_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0002_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:45,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0002_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0002_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0002_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0003_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:45,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0003_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0003_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0003_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0004_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:45,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0004_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0004_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0004_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0005_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:45,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0005_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0005_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0005_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0006_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:45,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0006_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0006_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0006_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0007_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:57,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0007_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0007_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0007_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0008_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:57,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0008_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0008_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0008_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0009_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:58,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0009_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0009_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0009_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200722__A01_G001_0010_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,10:53:58,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200722'), ('filename', '20200722__A01_G001_0010_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 72), ('path', '/Users/cudmore/data/20200722/20200722__A01_G001_0010_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,72,800,800,,,72,740,740,/Users/cudmore/data/20200722/aicsAnalysis/20200722__A01_G001_0010_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
